Ngày,Lý do chi, Số tiền,Ghi chú,Điều kiện,Đầu tháng,,Số dư,"2,259,000"
2010-12-29,Ăn sáng,"7,000",Bánh mì,0,,,,
2010-12-29,Linh tinh,"12,000",Thuốc cảm,0,,,,
2010-12-30,Ăn sáng,"10,000",Bánh cuốn,0,,,,
2010-12-30,Linh tinh,"26,000",Giấy vệ sinh,0,,,,
2010-12-31,Linh tinh,"6,000",Xe buýt,0,,,,
2010-12-31,Linh tinh,"12,000",Hủ tiếu,0,,,,
2010-12-31,Thu,"-100,000",Anh Chiến đưa,0,,,,
2010-12-31,Linh tinh,"20,000",Mua đồ sửa nhà,0,,,,
2011-01-02,Linh tinh,"8,000",Xe buýt,0,,,,
2011-01-02,Rút tài khoản,"-500,000",,0,,,,
2011-01-02,Linh tinh,"190,000",Vé xe,0,,,,
2011-01-02,Gửi xe,"3,000",,0,,,,
2011-01-02,Linh tinh,"30,000",Rác,0,,,,
2011-01-03,Ăn sáng,"10,000",Bánh cuốn,0,,,,
2011-01-03,Linh tinh,"48,000",Đĩa trắng,0,,,,
2011-01-04,Ăn sáng,"7,000",Bánh mì,0,,,,
2011-01-04,Gửi xe,"1,000",,0,,,,
2011-01-04,Đổ xăng,"30,000",,0,,,,
2011-01-05,Ăn sáng,"7,000",Bánh mì,0,,,,
2011-01-05,Gửi xe,"3,000",eTown,0,,,,
2011-01-06,Ăn sáng,"7,000",Bánh mì,0,,,,
2011-01-07,Đổ xăng,"30,000",,0,,,,
2011-01-07,Ăn sáng,"7,000",Bánh mì,0,,,,
2011-01-07,Gửi xe,"1,000",,0,,,,
2011-01-08,Linh tinh,"7,000",Bút ghi nhãn đĩa,0,,,,
2011-01-09,Linh tinh,"20,000",Phí băng rôn và nước cho bảo vệ tốt nghiệp,0,,,,
2011-01-09,Gửi xe,"2,000",,0,,,,
2011-01-10,Ăn sáng,"7,000",Bánh mì,0,,,,
2011-01-10,Gửi xe,"1,000",,0,,,,
2011-01-11,Ăn sáng,"10,000",Bánh cuốn,0,,,,
2011-01-11,Ăn trưa,"17,000",,0,,,,
2011-01-12,Ăn sáng,"12,000",Bánh cuốn,0,,,,
2011-01-12,Đổ xăng,"30,000",,0,,,,
2011-01-12,Linh tinh,"1,000",Bơm xe,0,,,,
2011-01-12,Gửi xe,"3,000",Gameloft,0,,,,
2011-01-12,Linh tinh,"2,000",Mẫu sơ yếu lý lịch,0,,,,
2011-01-13,Linh tinh,"3,000","Photo hộ khẩu, chứng minh",0,,,,
2011-01-13,Gửi xe,"6,000",UB Phường Phước Bình,0,,,,
2011-01-13,Gửi xe,"2,000",Nhà máy nước,0,,,,
2011-01-13,Linh tinh,"46,500",Tiền nước,0,,,,
2011-01-13,Linh tinh,"25,000",Công chứng giấy tờ,0,,,,
2011-01-13,Thu,"-50,000",Hai đưa (tiền nước),0,,,,
2011-01-14,Ăn sáng,"6,000",Bánh mì,0,,,,
2011-01-14,Đổ xăng,"30,000",,0,,,,
2011-01-14,Gửi xe,"1,000",,0,,,,
2011-01-14,Rút tài khoản,"-600,000",,0,,,,
2011-01-14,Linh tinh,"340,000",In báo cáo tốt nghiệp,0,,,,
2011-01-14,Nhậu,"35,000",,0,,,,
2011-01-15,Ăn sáng,"10,000",Bánh cuốn,0,,,,
2011-01-15,Gửi xe,"1,000",,0,,,,
2011-01-15,Linh tinh,"40,000",Karaoke,0,,,,
2011-01-15,Linh tinh,"10,000",Liên hoan,0,,,,
2011-01-15,Linh tinh,"1,000",Bơm xe,0,,,,
2011-01-16,Linh tinh,"4,000",Xe buýt,0,,,,
2011-01-16,Nhậu,"100,000",,0,,,,
2011-01-16,Nhậu,"40,000",,0,,,,
2011-01-17,Đổ xăng,"30,000",,0,,,,
2011-01-17,Ăn sáng,"7,000",,0,,,,
2011-01-17,Linh tinh,"560,000",Giày,0,,,,
2011-01-17,Linh tinh,"24,000",Xi đánh giày,0,,,,
2011-01-18,Linh tinh,"7,000",Bánh bao,0,,,,
2011-01-18,Linh tinh,"24,000",Thuốc cảm + say tàu xe,0,,,,
2011-01-19,Linh tinh,"1,000",Photo bằng 12,0,,,,
2011-01-19,Đổ xăng,"20,000",,0,,,,
2011-01-19,Rút tài khoản,"-1,000,000",,0,,,,
2011-01-19,Linh tinh,"1,000",Đi vệ sinh,0,,,,
2011-01-21,Linh tinh,"2,000",Ăn chè,0,,,,
2011-01-25,Hớt tóc,"12,000",,0,,,,
2011-01-25,Nhậu,"40,000",,0,,,,
2011-01-25,Cà phê,"10,000",,0,,,,
2011-02-04,Linh tinh,"61,500",Họp lớp 12A,0,,,,
2011-02-05,Ăn sáng,"14,000",,0,,,,
2011-02-05,Linh tinh,"65,000",Họp lớp QN,0,,,,
2011-02-06,Thu,"-970,000",Má cho,0,,,,
2011-02-06,Ăn tối,"30,000",,0,,,,
2011-02-07,Ăn sáng,"14,000",,0,,,,
2011-02-07,Đổ xăng,"30,000",,0,,,,
2011-02-07,Ăn tối,"20,000",,0,,,,
2011-02-08,Ăn sáng,"12,000",,0,,,,
2011-02-08,Ăn trưa,"4,000",Bánh mì,0,,,,
2011-02-08,Linh tinh,"30,000",Dầu gội,0,,,,
2011-02-08,Linh tinh,"5,000",Sửa xe (Tăng xên + Bơm),0,,,,
2011-02-08,Ăn tối,"19,000",,0,,,,
2011-02-09,Ăn sáng,"14,000",,0,,,,
2011-02-09,Ăn trưa,"13,000",,0,,,,
2011-02-09,Ăn tối,"23,000",,0,,,,
2011-02-09,Linh tinh,"20,000",Vé số,0,,,,
2011-02-09,Linh tinh,"135,000",Mì gói,0,,,,
2011-02-09,Linh tinh,"21,000",Trứng,0,,,,
2011-02-09,Linh tinh,"6,000",Nhang muỗi,0,,,,
2011-02-10,Ăn sáng,"17,000",Phở,0,,,,
2011-02-10,Ăn trưa,"15,000",,0,,,,
2011-02-10,Ăn tối,"23,000",,0,,,,
2011-02-11,Ăn sáng,"14,000",,0,,,,
2011-02-11,Đổ xăng,"30,000",,0,,,,
2011-02-11,Gửi xe,"3,000",,0,,,,
2011-02-11,Ăn trưa,"15,000",,0,,,,
2011-02-11,Thu tiền mượn,"-1,500,000",Linh,0,,,,
2011-02-11,Nhậu,"50,000",,0,,,,
2011-02-12,Ăn sáng,"15,000",,0,,,,
2011-02-12,Gửi xe,"3,000",Trường SPKT + Siêu thị,0,,,,
2011-02-12,Ăn trưa,"17,000",,0,,,,
2011-02-12,Ăn tối,"14,000",,0,,,,
2011-02-13,Linh tinh,"51,000",Socola,0,,,,
2011-02-13,Đổ xăng,"30,000",,0,,,,
2011-02-13,Ăn trưa,"4,000",Bánh mì,0,,,,
2011-02-13,Linh tinh,"10,000",Tất,0,,,,
2011-02-14,Ăn sáng,"14,000",,0,,,,
2011-02-14,Gửi xe,"3,000",,0,,,,
2011-02-14,Ăn trưa,"13,000",,0,,,,
2011-02-14,Ăn tối,"50,000",Với Mỹ,0,,,,
2011-02-15,Ăn sáng,"15,000",,0,,,,
2011-02-15,Đổ xăng,"30,000",,0,,,,
2011-02-15,Ăn trưa,"13,000",,0,,,,
2011-02-16,Ăn sáng,"12,000",,0,,,,
2011-02-16,Gửi xe,"1,000",,0,,,,
2011-02-16,Đổ xăng,"30,000",,0,,,,
2011-02-16,Linh tinh,"8,000",Kem đánh răng,0,,,,
2011-02-17,Ăn sáng,"14,000",,0,,,,
2011-02-17,Ăn trưa,"13,000",,0,,,,
2011-02-18,Ăn sáng,"15,000",,0,,,,
2011-02-18,Ăn trưa,"15,000",,0,,,,
2011-02-19,Ăn sáng,"7,000",,0,,,,
2011-02-19,Đổ xăng,"30,000",,0,,,,
2011-02-19,Linh tinh,"6,000",Tuốc-nơ-vuýt,0,,,,
2011-02-19,Linh tinh,500,Photo giấy tờ cho Hai ,0,,,,
2011-02-20,Ăn sáng,"8,000",,0,,,,
2011-02-21,Ăn sáng,"14,000",,0,,,,
2011-02-21,Ăn trưa,"13,500",Cho Dư 500,0,,,,
2011-02-21,Đổ xăng,"40,000",,0,,,,
2011-02-22,Ăn sáng,"15,000",,0,,,,
2011-02-22,Ăn trưa,"13,000",,0,,,,
2011-02-22,Linh tinh,"600,000",Sửa máy tính,0,,,,
2011-02-23,Ăn sáng,"14,000",,0,,,,
2011-02-23,Ăn trưa,"13,000",,0,,,,
2011-02-24,Ăn sáng,"14,000",,0,,,,
2011-02-24,Ăn trưa,"13,000",,0,,,,
