Ngày,Lý do chi, Số tiền,Ghi chú,Điều kiện,Đầu tháng,,Số dư,"2,259,000"
2011-04-25,Ăn trưa,"13,000",,0,,,,
2011-04-25,Nhậu,"80,000",Trả cho Hiếu,0,,,,
2011-04-26,Ăn sáng,"14,000",,0,,,,
2011-04-26,Đổ xăng,"50,000",,0,,,,
2011-04-26,Ăn trưa,"13,000",,0,,,,
2011-04-26,Cho mượn,"600,000",Chị Hai,0,,,,
2011-04-26,Thu tiền mượn,"-600,000",Chị Hai,0,,,,
2011-04-27,Ăn sáng,"14,000",,0,,,,
2011-04-27,Ăn trưa,"13,000",,0,,,,
2011-04-27,Linh tinh,"10,000",Hamburger,0,,,,
2011-04-27,Gửi xe,"2,000",,0,,,,
2011-04-27,Linh tinh,"12,000",Nước mía (Đánh bóng bàn với X.Thịnh),0,,,,
2011-04-27,Linh tinh,"40,000",Mì gói,0,,,,
2011-04-28,Ăn sáng,"18,000",,0,,,,
2011-04-28,Ăn trưa,"15,000",,0,,,,
2011-04-28,Linh tinh,"10,000",Bánh mì,0,,,,
2011-04-28,Linh tinh,"28,000",Phồng tôm cho Hai,0,,,,
2011-04-29,Đổ xăng,"50,000",,0,,,,
2011-04-29,Ăn sáng,"18,000",,0,,,,
2011-04-29,Linh tinh,"20,000",Vé số,0,,,,
2011-04-29,Ăn trưa,"15,000",,0,,,,
2011-04-29,Thu,"-177,000",Ai đó đưa,0,,,,
2011-04-30,Linh tinh,"11,000",Đá lạnh,0,,,,
2011-04-30,Linh tinh,"89,000",Xôi,0,,,,
2011-04-30,Gửi xe,"2,000",,0,,,,
2011-05-01,Linh tinh,"390,000",Bình ga,0,,,,
2011-05-01,Nhậu,"100,000",Gia đình 12A tại nhà Q9,0,,,,
2011-05-01,Linh tinh,"75,000",Hủ tiếu,0,,,,
2011-05-02,Thu,"-100,000",A. Chiến đưa,0,,,,
2011-05-02,Ăn sáng,"21,000",3 bánh mì ko + hộp cơm tấm,0,,,,
2011-05-02,Đổ xăng,"50,000",,0,,,,
2011-05-02,Linh tinh,"30,000",Nước mía,0,,,,
2011-05-03,Ăn sáng,"10,000",,0,,,,
2011-05-03,Linh tinh,"11,000",Trà sữa,0,,,,
2011-05-04,Ăn sáng,"20,000",,0,,,,
2011-05-04,Ăn trưa,"16,000",Bánh mì,0,,,,
2011-05-04,Đổ xăng,"50,000",,0,,,,
2011-05-05,Ăn sáng,"15,000",,0,,,,
2011-05-05,Ăn trưa,"13,000",,0,,,,
2011-05-06,Ăn sáng,"25,000",,0,,,,
2011-05-06,Ăn trưa,"13,000",,0,,,,
2011-05-06,Thu tiền mượn,"-900,000",Nhân,0,,,,
2011-05-07,Cho mượn,"1,000,000",Văn Dũng,0,,,,
2011-05-07,Linh tinh,"36,000","Ăn uống với Thu, Nghĩa...",0,,,,
2011-05-07,Linh tinh,"230,000",Áo thun,0,,,,
2011-05-07,Linh tinh,"19,000",Trà sữa với Thu,0,,,,
2011-05-07,Rút tài khoản,"-5,300,000",,0,,,,
2011-05-07,Gửi xe,"1,000",,0,,,,
2011-05-07,Linh tinh,"122,000","Sửa xe: Thay bố thắng, phốt",0,,,,
2011-05-07,Linh tinh,"15,000",Rửa xe,0,,,,
2011-05-07,Linh tinh,"28,000",Cắt chìa khóa,0,,,,
2011-05-08,Ăn sáng,"15,000",,0,,,,
2011-05-08,Đổ xăng,"30,000",,0,,,,
2011-05-09,Ăn sáng,"18,000",,0,,,,
2011-05-09,Linh tinh,"4,500,000",Gửi tài khoản,0,,,,
2011-05-09,Ăn trưa,"15,000",,0,,,,
2011-05-09,Thất thoát,"2,000",,0,,,,
2011-05-10,Ăn sáng,"15,000",,0,,,,
2011-05-10,Đổ xăng,"50,000",,0,,,,
2011-05-10,Ăn trưa,"15,000",,0,,,,
2011-05-10,Gửi xe,"3,000",,0,,,,
2011-05-10,Linh tinh,"50,000",Cháo (3 bọc cho mình + a. Chiến + c. Hai),0,,,,
2011-05-11,Ăn sáng,"18,000",,0,,,,
2011-05-11,Ăn trưa,"13,000",,0,,,,
2011-05-11,Rút tài khoản,"-2,000,000",,0,,,,
2011-05-11,Linh tinh,"539,000",Điện thoại cho ba,0,,,,
2011-05-11,Linh tinh,"150,000",Sim cho ba,0,,,,
2011-05-11,Hớt tóc,"25,000",,0,,,,
2011-05-12,Ăn sáng,"18,000",,0,,,,
2011-05-12,Linh tinh,"10,000",Cắt chìa khóa,0,,,,
2011-05-12,Ăn trưa,"13,000",,0,,,,
2011-05-12,Đổ xăng,"50,000",,0,,,,
2011-05-12,Gửi xe,"3,000",,0,,,,
2011-05-13,Thu,"-1,550,000",Lãnh học bổng,0,,,,
2011-05-13,Gửi xe,"1,000",,0,,,,
2011-05-13,Ăn sáng,"10,000",,0,,,,
2011-05-13,Ăn trưa,"13,000",,0,,,,
2011-05-13,Linh tinh,"5,000",Áo mưa,0,,,,
2011-05-13,Linh tinh,"1,124,000",Sữa cho Kiên,0,,,,
2011-05-13,Linh tinh,"250,000",Vé xe,0,,,,
2011-05-15,Ăn sáng,"18,000",,0,,,,
2011-05-16,Linh tinh,"22,000",Phí chuyển khoản cho Hai,0,,,,
2011-05-16,Linh tinh,"38,000",Bột chiên cho má,0,,,,
2011-05-17,Thu,"-1,125,000",Chị Nghĩa trả tiền sữa,0,,,,
2011-05-17,Linh tinh,"200,000",Vé xe Hải Lài,0,,,,
2011-05-17,Cho,"2,000",Bà già ở quán ăn lúc vô SG,0,,,,
2011-05-18,Ăn sáng,"15,000",,0,,,,
2011-05-18,Ăn trưa,"20,000",,0,,,,
2011-05-19,Ăn sáng,"15,000",,0,,,,
2011-05-19,Đổ xăng,"50,000",,0,,,,
2011-05-19,Ăn trưa,"13,000",,0,,,,
2011-05-20,Ăn sáng,"18,000",,0,,,,
2011-05-20,Ăn trưa,"15,000",,0,,,,
2011-05-20,Cho mượn,"1,000,000",Nhân,0,,,,
2011-05-21,Cho mượn,"300,000",Thu,0,,,,
2011-05-21,Đổ xăng,"30,000",,0,,,,
2011-05-21,Ăn sáng,"10,000",,0,,,,
2011-05-21,Nhậu,"200,000",,0,,,,
2011-05-22,Cà phê,"24,000",Với Văn Dũng,0,,,,
2011-05-23,Ăn sáng,"16,000",,0,,,,
2011-05-23,Ăn trưa,"15,000",,0,,,,
2011-05-23,Rút tài khoản,"-1,000,000",,0,,,,
2011-05-23,Cho mượn,"1,000,000",Phong,0,,,,
2011-05-24,Ăn sáng,"15,000",,0,,,,
2011-05-24,Đổ xăng,"50,000",,0,,,,
2011-05-24,Ăn trưa,"26,000",+ Mua dùm anh An 13.000,0,,,,
2011-05-25,Ăn sáng,"18,000",,0,,,,
2011-05-25,Ăn trưa,"15,000",,0,,,,
2011-05-26,Ăn sáng,"6,000",,0,,,,
2011-05-26,Rút tài khoản,"-1,000,000",,0,,,,
2011-05-26,Ăn tối,"40,000",Phở xào mềm đường Nguyễn Thái Bình (never return),0,,,,
2011-05-26,Đổ xăng,"50,000",,0,,,,
2011-05-26,Mượn,"-2,000,000",Lai,0,,,,
2011-05-26,Cho mượn,"3,000,000",Chị Hai,0,,,,
2011-05-27,Ăn sáng,"16,000",,0,,,,
2011-05-27,Trả nợ,"20,000",Tiền ăn trưa hôm trước cho Huy,0,,,,
2011-05-27,Ăn trưa,"15,000",,0,,,,
2011-05-27,Thu tiền mượn,"-1,000,000",Nhân,0,,,,
2011-05-27,Ăn tối,"25,000",Mì xào ga SG,0,,,,
2011-05-27,Thu tiền mượn,"-1,000,000",Văn Dũng,0,,,,
2011-05-28,Nhậu,"80,000",Coi chung kết cúp C1,0,,,,
2011-05-29,Trả nợ,"2,000,000",Lai,0,,,,
2011-05-29,Đổ xăng,"50,000",,0,,,,
2011-05-30,Ăn sáng,"10,000",,0,,,,
2011-05-30,Ăn trưa,"13,000",,0,,,,
2011-05-30,Linh tinh,"272,000",Shopping,0,,,,
2011-05-31,Ăn sáng,"15,000",,0,,,,
2011-05-31,Ăn trưa,"13,000",,0,,,,
2011-05-31,Rút tài khoản,"-500,000",,0,,,,
2011-05-31,Cà phê,"66,000",Trúc,0,,,,
2011-06-01,Đổ xăng,"50,000",,0,,,,
2011-06-01,Ăn sáng,"18,000",,0,,,,
2011-06-01,Thu,"-8,000",Mì gói cho a.Bình,0,,,,
2011-06-01,Ăn trưa,"15,000",,0,,,,
2011-06-02,Ăn sáng,"18,000",,0,,,,
2011-06-02,Ăn trưa,"15,000",,0,,,,
2011-06-03,Ăn sáng,"18,000",,0,,,,
2011-06-03,Ăn trưa,"25,000",,0,,,,
2011-06-03,Đổ xăng,"40,000",,0,,,,
2011-06-03,Gửi xe,"3,000",,0,,,,
2011-06-03,Linh tinh,"30,000","Nước mía với Lai, Thịnh",0,,,,
2011-06-03,Linh tinh,"36,000",Bánh bao,0,,,,
2011-06-04,Ăn sáng,"18,000",,0,,,,
2011-06-05,Ăn sáng,"15,000",,0,,,,
2011-06-05,Nhậu,"130,000","Thu, Vinh",0,,,,
2011-06-06,Ăn sáng,"19,000",,0,,,,
2011-06-06,Đổ xăng,"50,000",,0,,,,
2011-06-06,Ăn trưa,"13,000",,0,,,,
2011-06-06,Rút tài khoản,"-700,000",,0,,,,
2011-06-06,Linh tinh,"90,000",Xem phim,0,,,,
2011-06-06,Linh tinh,"100,000",Đám cưới Kiều,0,,,,
2011-06-06,Cho mượn,"100,000",Lai,0,,,,
2011-06-07,Ăn sáng,"22,000",,0,,,,
2011-06-07,Ăn trưa,"15,000",,0,,,,
2011-06-07,Ăn tối,"23,000",,0,,,,
2011-06-07,Gửi xe,"3,000",Galaxy Tân Bình,0,,,,
2011-06-07,Linh tinh,"18,000",Nước ngọt,0,,,,
2011-06-08,Gửi xe,"1,000",SPKT,0,,,,
2011-06-08,Ăn sáng,"25,000",,0,,,,
2011-06-08,Ăn trưa,"13,000",,0,,,,
2011-06-09,Ăn sáng,"18,000",,0,,,,
2011-06-09,Đổ xăng,"50,000",,0,,,,
2011-06-09,Ăn trưa,"15,000",,0,,,,
2011-06-09,Nhậu,"180,000",,0,,,,
2011-06-10,Ăn sáng,"15,000",,0,,,,
2011-06-10,Ăn trưa,"15,000",,0,,,,
2011-06-10,Rút tài khoản,"-700,000",,0,,,,
2011-06-10,Linh tinh,"144,000",Headphone,0,,,,
2011-06-11,Ăn sáng,"26,000",,0,,,,
2011-06-11,Linh tinh,"20,000",Phí chụp hình lễ tốt nghiệp,0,,,,
2011-06-11,Linh tinh,"25,000",Vỏ bằng,0,,,,
2011-06-11,Linh tinh,"5,000",Mướn lễ phục (Đặt cọc 300.000. Nhận lại vào ngày 24/6),0,,,,
2011-06-11,Gửi xe,"1,000",SPKT,0,,,,
2011-06-11,Linh tinh,"2,000",Hành ngò,0,,,,
2011-06-11,Đổ xăng,"50,000",,0,,,,
2011-06-12,Cho,"100,000",Chị Hai,0,,,,
2011-06-12,Nhậu,"103,000","Bé Hân, Linh, Loan",0,,,,
2011-06-13,Ăn sáng,"6,000",,0,,,,
2011-06-13,Rút tài khoản,"-1,200,000",,0,,,,
2011-06-13,Ăn trưa,"13,000",,0,,,,
2011-06-13,Cho mượn,"500,000",Nhựt,0,,,,
2011-06-13,Linh tinh,"12,000",Thuốc,0,,,,
2011-06-14,Ăn sáng,"20,000",,0,,,,
2011-06-14,Ăn trưa,"18,000",,0,,,,
2011-06-14,Đổ xăng,"50,000",,0,,,,
2011-06-15,Ăn sáng,"15,000",,0,,,,
2011-06-15,Ăn trưa,"13,000",,0,,,,
2011-06-16,Ăn sáng,"15,000",,0,,,,
2011-06-16,Ăn trưa,"18,000",,0,,,,
2011-06-17,Đổ xăng,"40,000",,0,,,,
2011-06-17,Ăn sáng,"19,000",,0,,,,
2011-06-17,Ăn trưa,"13,000",,0,,,,
2011-06-18,Linh tinh,"14,000",Kem đánh răng,0,,,,
2011-06-19,Gửi xe,"3,000",,0,,,,
2011-06-20,Ăn sáng,"15,000",,0,,,,
2011-06-20,Ăn trưa,"13,000",,0,,,,
2011-06-20,Đổ xăng,"40,000",,0,,,,
2011-06-20,Thu tiền mượn,"-100,000",Lai,0,,,,
2011-06-20,Linh tinh,"7,500",Kẹo cho Minh Quốc,0,,,,
2011-06-21,Ăn sáng,"19,000",,0,,,,
2011-06-21,Ăn trưa,"13,000",,0,,,,
2011-06-21,Ăn tối,"34,000",Hủ tiếu (Lai),0,,,,
2011-06-21,Linh tinh,"200,000",Xem guitar,0,,,,
2011-06-21,Gửi xe,"3,000",,0,,,,
2011-06-22,Ăn trưa,"15,000",,0,,,,
2011-06-22,Linh tinh,"2,000",Sinh nhật Châu,0,,,,
2011-06-22,Rút tài khoản,"-500,000",,0,,,,
2011-06-23,Ăn sáng,"18,000",,0,,,,
2011-06-23,Linh tinh,"20,000",Vé số,0,,,,
2011-06-23,Ăn trưa,"30,000",,0,,,,
2011-06-23,Gửi xe,"1,000",,0,,,,
2011-06-23,Nhậu,"100,000",Lớp đại học (lãnh bằng),0,,,,
2011-06-23,Đổ xăng,"50,000",,0,,,,
2011-06-23,Nhậu,"150,000",Nhà (lãnh bằng),0,,,,
2011-06-24,Ăn sáng,"19,000",,0,,,,
2011-06-24,Gửi xe,"1,000",,0,,,,
2011-06-24,Nhậu,"100,000",[Vũng Tàu] Góp trước,0,,,,
2011-06-24,Cho mượn,"5,000",Anh Tuấn,0,,,,
2011-06-24,Ăn trưa,"13,000",,0,,,,
2011-06-24,Ăn tối,"17,000",,0,,,,
2011-06-24,Hớt tóc,"25,000",Ở Tân Bình,0,,,,
2011-06-24,Linh tinh,"4,000",Bàn chải đánh răng,0,,,,
2011-06-24,Gửi xe,"2,000",Chè đường Nguyễn Tri Phương,0,,,,
2011-06-25,Cho mượn,"14,000",Anh Tuấn,0,,,,
2011-06-25,Linh tinh,"55,000",[Vũng Tàu] Vòng tay 15 Móc khóa ốc 5 Móc khóa cá heo 5 Móc khóa ba lô 20 Rùa 10,0,,,,
2011-06-25,Linh tinh,"10,000",[Vũng Tàu] Taxi,0,,,,
2011-06-26,Linh tinh,"8,000",[Vũng Tàu] Xe đạp,0,,,,
2011-06-26,Linh tinh,"25,000",[Long Thành] Kẹo,0,,,,
2011-06-26,Linh tinh,"40,000",[Long Thành] Sữa,0,,,,
2011-06-27,Ăn sáng,"18,000",,0,,,,
2011-06-27,Đổ xăng,"40,000",,0,,,,
2011-06-27,Ăn trưa,"15,000",,0,,,,
2011-06-27,Thu tiền mượn,"-19,000",Anh Tuấn,0,,,,
2011-06-27,Thu,"-1,000",Anh Tuấn (đưa dư),0,,,,
2011-06-28,Ăn sáng,"16,000",,0,,,,
2011-06-28,Ăn trưa,"15,000",,0,,,,
2011-06-29,Ăn sáng,"15,000",,0,,,,
2011-06-29,Ăn trưa,"18,000",,0,,,,
2011-06-29,Rút tài khoản,"-500,000",,0,,,,
2011-06-30,Đổ xăng,"50,000",,0,,,,
2011-06-30,Ăn sáng,"10,000",,0,,,,
2011-06-30,Cho mượn,"500,000",Nhân,0,,,,
2011-06-30,Ăn trưa,"13,000",,0,,,,
2011-07-01,Ăn sáng,"20,000",,0,,,,
2011-07-01,Ăn trưa,"13,000",,0,,,,
2011-07-01,Rút tài khoản,"-500,000",,0,,,,
2011-07-01,Thu,-500,Tiền mua bánh mì cho anh An dư,0,,,,
2011-07-01,Đổ xăng,"50,000",,0,,,,
2011-07-01,Linh tinh,"6,000",Bánh mì,0,,,,
2011-07-02,Ăn sáng,"20,000",,0,,,,
2011-07-02,Thay nhớt,"80,000",,0,,,,
2011-07-02,Nhậu,"107,500",,0,,,,
2011-07-02,Linh tinh,"11,000",Dưa leo,0,,,,
2011-07-03,Linh tinh,"180,000","Bột giặt, mì gói, sữa",0,,,,
2011-07-03,Gửi xe,"1,000",Siêu thị,0,,,,
2011-07-04,Ăn sáng,"15,000",,0,,,,
2011-07-04,Ăn trưa,"13,000",,0,,,,
2011-07-05,Ăn sáng,"8,000",,0,,,,
2011-07-05,Mượn,"-50,000",An Gameloft,0,,,,
2011-07-05,Ăn trưa,"15,000",,0,,,,
2011-07-05,Đổ xăng,"50,000",,0,,,,
2011-07-06,Linh tinh,"10,000",Bàn chải đánh răng (cho anh Ba và cô Bảy),0,,,,
2011-07-06,Ăn trưa,"13,000",,0,,,,
2011-07-06,Thu tiền mượn,"-500,000",Nhân,0,,,,
2011-07-07,Đổ xăng,"50,000",,0,,,,
2011-07-07,Trả nợ,"50,000",An Gameloft,0,,,,
2011-07-07,Ăn trưa,"15,000",,0,,,,
2011-07-08,Ăn sáng,"20,000",,0,,,,
2011-07-08,Ăn trưa,"22,000",,0,,,,
2011-07-08,Cho,"13,000","Nhân, ăn trưa",0,,,,
2011-07-09,Đổ xăng,"50,000",,0,,,,
2011-07-09,Linh tinh,"73,000",Sách,0,,,,
2011-07-09,Nhậu,"100,000",,0,,,,
2011-07-09,Gửi xe,"10,000",Quán nhậu,0,,,,
2011-07-10,Ăn sáng,"17,000",,0,,,,
2011-07-11,Ăn trưa,"20,000",,0,,,,
2011-07-11,Thu tiền mượn,"-500,000",Nhựt,0,,,,
2011-07-11,Đổ xăng,"50,000",,0,,,,
2011-07-12,Ăn sáng,"8,000",,0,,,,
2011-07-12,Ăn trưa,"18,000",,0,,,,
2011-07-12,Linh tinh,"8,000",Nước ngọt,0,,,,
2011-07-13,Ăn sáng,"28,000",,0,,,,
2011-07-13,Ăn trưa,"15,000",,0,,,,
2011-07-13,Đổ xăng,"50,000",,0,,,,
2011-07-14,Ăn sáng,"18,000",,0,,,,
2011-07-14,Ăn trưa,"20,000",,0,,,,
2011-07-15,Ăn sáng,"16,000",,0,,,,
2011-07-15,Ăn trưa,"15,000",,0,,,,
2011-07-16,Ăn sáng,"7,000",,0,,,,
2011-07-16,Cà phê,"8,000",,0,,,,
2011-07-16,Đổ xăng,"50,000",,0,,,,
2011-07-17,Linh tinh,"54,000",Trà sữa,0,,,,
2011-07-17,Linh tinh,"170,000",Mua dép,0,,,,
2011-07-18,Ăn sáng,"16,000",,0,,,,
2011-07-18,Ăn trưa,"15,000",,0,,,,
2011-07-18,Rút tài khoản,"-700,000",,0,,,,
2011-07-19,Ăn sáng,"21,000",,0,,,,
2011-07-19,Ăn trưa,"15,000",,0,,,,
2011-07-19,Linh tinh,"90,000",Xem phim,0,,,,
2011-07-19,Rút tài khoản,"-500,000",,0,,,,
2011-07-19,Cho mượn,"500,000",Nhân,0,,,,
2011-07-19,Ăn tối,"10,000",Hambugur,0,,,,
2011-07-19,Gửi xe,"3,000",Rạp phim,0,,,,
2011-07-19,Đổ xăng,"50,000",,0,,,,
2011-07-19,Linh tinh,"15,000",Kem đánh răng,0,,,,
2011-07-20,Ăn sáng,"7,000",,0,,,,
2011-07-20,Ăn trưa,"20,000",,0,,,,
2011-07-20,Cho mượn,"200,000",Nhân,0,,,,
2011-07-21,Ăn sáng,"6,000",,0,,,,
2011-07-21,Ăn trưa,"15,000",,0,,,,
2011-07-22,Ăn sáng,"18,000",,0,,,,
2011-07-22,Ăn trưa,"15,000",,0,,,,
2011-07-22,Linh tinh,"18,000",Nước ngọt (Trả anh Nhựt Hải hôm uống ở rạp),0,,,,
2011-07-22,Thu tiền mượn,"-200,000",Nhân,0,,,,
2011-07-24,Linh tinh,"46,000",Sữa,0,,,,
2011-07-24,Linh tinh,"15,000",Rửa xe,0,,,,
2011-07-24,Linh tinh,"6,000",Cắt chìa khóa,0,,,,
2011-07-25,Ăn sáng,"18,000",,0,,,,
2011-07-25,Đổ xăng,"50,000",,0,,,,
2011-07-25,Ăn trưa,"15,000",,0,,,,
2011-07-26,Ăn sáng,"18,000",,0,,,,
2011-07-26,Thu tiền mượn,"-500,000",Nhân,0,,,,
2011-07-26,Ăn trưa,"20,000",,0,,,,
2011-07-27,Ăn sáng,"17,000",,0,,,,
2011-07-27,Ăn trưa,"15,000",,0,,,,
2011-07-27,Đổ xăng,"50,000",,0,,,,
2011-07-27,Gửi xe,"3,000",,0,,,,
2011-07-28,Ăn sáng,"20,000",,0,,,,
2011-07-28,Ăn trưa,"15,000",,0,,,,
2011-07-28,Linh tinh,500,Bỏ heo,0,,,,
2011-07-28,Nhậu,"50,000",,0,,,,
2011-07-29,Ăn sáng,"18,000",,0,,,,
2011-07-29,Đổ xăng,"50,000",,0,,,,
2011-07-29,Ăn trưa,"15,000",,0,,,,
2011-07-30,Ăn sáng,"6,000",,0,,,,
2011-07-30,Linh tinh,"266,000",Áo khoác,0,,,,
2011-07-30,Linh tinh,"24,000",Trà sữa,0,,,,
2011-07-30,Cho,"5,000",Thu,0,,,,
2011-07-31,Ăn sáng,"7,000",,0,,,,
2011-07-31,Linh tinh,"3,000",Báo,0,,,,
2011-08-01,Ăn sáng,"7,000",,0,,,,
2011-08-01,Đổ xăng,"50,000",,0,,,,
2011-08-01,Ăn trưa,"18,000",,0,,,,
2011-08-01,Linh tinh,"14,000",Trà sữa,0,,,,
2011-08-02,Ăn sáng,"7,000",,0,,,,
2011-08-02,Rút tài khoản,"-500,000",,0,,,,
2011-08-02,Gửi xe,"6,000",Sân banh + Xe Nhân,0,,,,
2011-08-03,Ăn sáng,"16,000",,0,,,,
2011-08-03,Ăn trưa,"15,000",,0,,,,
2011-08-03,Ăn tối,"49,000",,0,,,,
2011-08-03,Gửi xe,"6,000",,0,,,,
2011-08-03,Linh tinh,"20,000",Vớ,0,,,,
2011-08-04,Ăn sáng,"15,000",,0,,,,
2011-08-04,Ăn trưa,"15,000",,0,,,,
2011-08-04,Cho mượn,"200,000",Nhân,0,,,,
2011-08-04,Đổ xăng,"50,000",,0,,,,
2011-08-04,Linh tinh,"16,000",Nước ngọt,0,,,,
2011-08-05,Ăn sáng,"18,000",,0,,,,
2011-08-05,Ăn trưa,"15,000",,0,,,,
2011-08-06,Ăn sáng,"14,000",,0,,,,
2011-08-06,Linh tinh,"5,000","Sửa xe: Tra nhớt, bơm lốp",0,,,,
2011-08-06,Đổ xăng,"50,000",,0,,,,
2011-08-06,Hớt tóc,"20,000",,0,,,,
2011-08-06,Rút tài khoản,"-500,000",,0,,,,
2011-08-06,Cà phê,"92,000",Bé Hân,0,,,,
2011-08-07,Ăn sáng,"7,000",,0,,,,
2011-08-07,Linh tinh,"3,500",Báo,0,,,,
2011-08-07,Cho,"100,000",Thân,0,,,,
2011-08-07,Linh tinh,"8,000",Xe buýt,0,,,,
2011-08-07,Rút tài khoản,"-10,000,000",,0,,,,
2011-08-07,Cho mượn,"10,000,000",Chị Hai,0,,,,
2011-08-08,Ăn sáng,"7,000",,0,,,,
2011-08-08,Ăn trưa,"15,000",,0,,,,
2011-08-08,Thu tiền mượn,"-200,000",Nhân,0,,,,
2011-08-08,Gửi xe,"3,000",Maximark,0,,,,
2011-08-09,Đổ xăng,"50,000",,0,,,,
2011-08-09,Ăn sáng,"17,000",,0,,,,
2011-08-09,Ăn trưa,"15,000",,0,,,,
2011-08-09,Linh tinh,"10,000",Hambugur,0,,,,
2011-08-09,Thu,-500,Rút heo,0,,,,
2011-08-09,Đá banh,"30,000",,0,,,,
2011-08-09,Gửi xe,"3,000",,0,,,,
2011-08-10,Ăn sáng,"18,000",,0,,,,
2011-08-10,Ăn trưa,"15,000",,0,,,,
2011-08-11,Ăn sáng,"7,000",,0,,,,
2011-08-11,Ăn trưa,"15,000",,0,,,,
2011-08-11,Rút tài khoản,"-500,000",,0,,,,
2011-08-11,Linh tinh,"518,500",,0,,,,
2011-08-11,Gửi xe,"3,000",Maximark,0,,,,
2011-08-12,Ăn sáng,"20,000",,0,,,,
2011-08-12,Ăn trưa,"15,000",,0,,,,
2011-08-12,Linh tinh,"15,500",Trà sữa,0,,,,
2011-08-12,Đổ xăng,"50,000",,0,,,,
2011-08-13,Ăn sáng,"21,000",,0,,,,
2011-08-14,Linh tinh,"4,000",Báo,0,,,,
2011-08-14,Rút tài khoản,"-500,000",,0,,,,
2011-08-14,Ăn sáng,"21,000",,0,,,,
2011-08-14,Linh tinh,"16,000",Xe buýt,0,,,,
2011-08-14,Thu,"-30,000",Hỗ trợ hiến máu,0,,,,
2011-08-14,Ăn trưa,"30,000",,0,,,,
2011-08-14,Gửi xe,"4,000",Chùa,0,,,,
2011-08-15,Ăn sáng,"19,000",,0,,,,
2011-08-15,Ăn trưa,"15,000",,0,,,,
2011-08-16,Ăn sáng,"18,000",,0,,,,
2011-08-16,Đổ xăng,"50,000",,0,,,,
2011-08-16,Ăn trưa,"20,000",,0,,,,
2011-08-16,Đá banh,"50,000",,0,,,,
2011-08-16,Gửi xe,"3,000",,0,,,,
2011-08-17,Ăn sáng,"19,000",,0,,,,
2011-08-17,Ăn trưa,"17,000",,0,,,,
2011-08-17,Rút tài khoản,"-2,500,000",,0,,,,
2011-08-17,Cho mượn,"2,000,000",Phong,0,,,,
2011-08-18,Đổ xăng,"50,000",,0,,,,
2011-08-18,Ăn sáng,"20,000",,0,,,,
2011-08-18,Ăn trưa,"15,000",,0,,,,
2011-08-18,Gửi xe,"3,000",,0,,,,
2011-08-18,Đá banh,"25,000",,0,,,,
2011-08-19,Ăn trưa,"15,000",,0,,,,
2011-08-19,Cho mượn,"200,000",Nhựt,0,,,,
2011-08-20,Đổ xăng,"40,000",,0,,,,
2011-08-20,Ăn sáng,"52,000",,0,,,,
2011-08-20,Nhậu,"100,000",Tiễn Linh,0,,,,
2011-08-22,Ăn sáng,"20,000",,0,,,,
2011-08-22,Đổ xăng,"50,000",,0,,,,
2011-08-22,Rút tài khoản,"-500,000",,0,,,,
2011-08-22,Cho mượn,"500,000",Nhân,0,,,,
2011-08-22,Ăn trưa,"15,000",,0,,,,
2011-08-22,Linh tinh,"8,000",Nước ngọt,0,,,,
2011-08-22,Ăn tối,"50,000",Với Loan,0,,,,
2011-08-23,Linh tinh,"20,000",Vé số,0,,,,
2011-08-23,Ăn sáng,"16,000",,0,,,,
2011-08-23,Ăn trưa,"15,000",,0,,,,
2011-08-23,Đá banh,"40,000",,0,,,,
2011-08-23,Gửi xe,"3,000",,0,,,,
2011-08-24,Đổ xăng,"50,000",,0,,,,
2011-08-24,Ăn sáng,"17,000",,0,,,,
2011-08-24,Ăn trưa,"15,000",,0,,,,
2011-08-25,Ăn sáng,"18,000",,0,,,,
2011-08-25,Ăn trưa,"15,000",,0,,,,
2011-08-25,Rút tài khoản,"-1,000,000",,0,,,,
2011-08-25,Cho mượn,"500,000",Cường,0,,,,
2011-08-26,Ăn sáng,"19,000",,0,,,,
2011-08-26,Linh tinh,"96,000",Nạp card điện thoại,0,,,,
2011-08-26,Ăn trưa,"20,000",,0,,,,
2011-08-27,Đổ xăng,"50,000",,0,,,,
2011-08-27,Đá banh,"25,000",,0,,,,
2011-08-28,Ăn sáng,"24,000",,0,,,,
2011-08-28,Linh tinh,"15,000",Rửa xe,0,,,,
2011-08-29,Ăn sáng,"18,000",,0,,,,
2011-08-29,Ăn trưa,"15,000",,0,,,,
2011-08-29,Thu tiền mượn,"-200,000",Nhựt,0,,,,
2011-08-29,Mượn,"-200,000",Nhựt,0,,,,
2011-08-30,Đổ xăng,"50,000",,0,,,,
2011-08-30,Ăn sáng,"20,000",,0,,,,
2011-08-30,Cho,"6,000",Mua bánh mì cho Nhân,0,,,,
2011-08-30,Ăn trưa,"15,000",,0,,,,
2011-08-30,Cho mượn,"15,000",Mua cơm cho Châu,0,,,,
2011-08-30,Linh tinh,"20,000",Nước ngọt (2 lon Red-bull),0,,,,
2011-08-30,Linh tinh,"11,000","Đi chơi nhà thờ Đức Bà với Trang, Trúc, Lai, Cường & em Cường",0,,,,
2011-08-30,Cho,"100,000","Linh (tại nhà thờ Đức Bà, cùng với Lai, Trang, Trúc)",0,,,,
2011-08-30,Gửi xe,"2,000",,0,,,,
2011-08-31,Ăn sáng,"7,000",,0,,,,
